INS Number,Name,Functional class,Safety Rating (Safe/Caution/High Risk),Health Concern,ADI (Acceptable Daily Intake),EU Warning,US Warning
131,Patent blue V,Colour,Caution,Allergic reactions,5 mg/kg bw,Approved,Banned/Not permitted
132,Indigotine (Indigo carmine),Colour,Safe,None at normal levels,5 mg/kg bw,Approved,Approved
133,Brilliant blue FCF,Colour,Safe,None at normal levels,6 mg/kg bw,Approved,Approved
134,Spirulina extract,Colour,Safe,,Not specified,Approved,Approved
140,Chlorophylls,Colour,Safe,,Not specified,Approved,Not permitted as food additive (exempt as natural pigment in some contexts)
141,"Chlorophylls and chlorophyllins, copper complexes",,Safe,Copper accumulation at extreme high doses,15 mg/kg bw,Approved,Approved (restricted uses)
141(i),"Chlorophylls, copper complexes",Colour,Safe,,15 mg/kg bw,Approved,Approved
141(ii),"Chlorophyllins, copper complexes, K/Na salts",Colour,Safe,,15 mg/kg bw,Approved,Approved
142,Green S,Colour,Caution,Allergic reactions in sensitive individuals,5 mg/kg bw,Approved,Banned/Not permitted
143,Fast Green FCF,Colour,Safe,None at normal levels,25 mg/kg bw,Not permitted,Approved
150,Caramels,,Safe,,Not specified,Approved,Approved
150a,Caramel plain caramel,Colour,Safe,,Not specified,Approved,Approved
150b,Caramel II sulphite caramel,Colour,Safe,Sulphite sensitivity,160 mg/kg bw,Approved,Approved
150c,Caramel III - ammonia caramel,Colour,Caution,Contains 4-MEI (potential carcinogen in extreme doses),200 mg/kg bw,Approved (regulated limits on 4-MEI),Approved (Prop 65 warning required in CA if 4-MEI exceeds limits)
150d,Caramel IV - sulphite ammonia caramel,Colour,Caution,Contains 4-MEI and sulphites,200 mg/kg bw,Approved (regulated limits on 4-MEI),Approved (Prop 65 warning required in CA if 4-MEI exceeds limits)
151,Brilliant black (Black PN),Colour,Safe,Rare allergic reactions,1 mg/kg bw,Approved,Banned/Not permitted
152,Carbon black (hydrocarbon),Colour,High risk,Potential PAH contamination (carcinogens),Not allocated,Banned/Not permitted,Banned/Not permitted
153,Vegetable carbon,Colour,Safe,None if free of PAHs,Not specified,Approved,Not permitted
154,Brown FK,Colour,High risk,Organ damage in animal studies,0.15 mg/kg bw,Banned/Not permitted,Banned/Not permitted
155,Brown HT,Colour,Caution,Allergic reactions,1.5 mg/kg bw,Approved,Banned/Not permitted
160a,Carotenes,,Safe,High doses may turn skin yellow (carotenemia),Not specified,Approved,Approved
160a(i),"Carotenes, beta-, synthetic",Colour,Safe,,5 mg/kg bw,Approved,Approved
160a(ii),"Carotenes, beta-, vegetable",Colour,Safe,,Not specified,Approved,Approved
160a(iii),"Carotenes, beta-, Blakeslea trispora",Colour,Safe,,5 mg/kg bw,Approved,Approved
160a(iv),B-carotene-rich extract from Dunaliella salina,Colour,Safe,,Not specified,Approved,Approved
160b,Annatto extracts,,Caution,Rare allergic reactions,Depends on extract,Approved,Approved
160b(i),"Annatto extracts, bixin-based",Colour,Caution,Rare allergic reactions,12 mg/kg bw,Approved,Approved
160b(ii),"Annatto extracts, norbixin-based",Colour,Caution,Rare allergic reactions,0.6 mg/kg bw,Approved,Approved
160c(i),Paprika oleoresin,Colour,Safe,,Not specified,Approved,Approved
160c(ii),Paprika extract,Colour,Safe,,Not specified,Approved,Approved
160d,Lycopenes,,Safe,,0.5 mg/kg bw,Approved,Approved
160d(i),"Lycopene, synthetic",Colour,Safe,,0.5 mg/kg bw,Approved,Approved
160d(ii),"Lycopene, tomato",Colour,Safe,,0.5 mg/kg bw,Approved,Approved
160d(iii),"Lycopene, Blakeslea trispora",Colour,Safe,,0.5 mg/kg bw,Approved,Approved
160e,"Carotenal, beta-apo-8-",Colour,Safe,,0.3 mg/kg bw,Approved,Approved
160f,"Carotenoic acid, ethyl ester, beta-apo-8-",Colour,Safe,,0.3 mg/kg bw,Not permitted,Not permitted
161a,Flavoxanthin,Colour,Safe,,Not specified,Not permitted,Not permitted
161b,Luteins,,Safe,,1 mg/kg bw,Approved,Approved
161b(i),Lutein from Tagetes erecta,Colour,Safe,,1 mg/kg bw,Approved,Approved
161b(ii),Tagetes extract,Colour,Safe,,Not specified,Approved,Approved
161b(iii),Lutein esters from Tagetes erecta,Colour,Safe,,1 mg/kg bw,Approved,Approved
161c,Kryptoxanthin,Colour,Safe,,Not specified,Not permitted,Not permitted
161d,Rubixanthin,Colour,Safe,,Not specified,Not permitted,Not permitted
161e,Violoxanthin,Colour,Safe,,Not specified,Not permitted,Not permitted
161f,Rhodoxanthin,Colour,Safe,,Not specified,Not permitted,Not permitted
161g,Canthaxanthin,Colour,Caution,Retinal crystal accumulation at high doses,0.03 mg/kg bw,"Approved (restricted uses, e.g. Saucisses de Strasbourg)",Approved (restricted uses)
161h,Zeaxanthins,,Safe,,0.75 mg/kg bw,Approved,Approved
161h(i),"Zeaxanthin, synthetic",Colour,Safe,,0.75 mg/kg bw,Approved,Approved
161h(ii),Zeaxanthin-rich extract from Tagetes erecta,Colour,Safe,,0.75 mg/kg bw,Approved,Approved
162,Beet red,Colour,Safe,Beeturia (red urine) - harmless,Not specified,Approved,Approved
163,Anthocyanins,,Safe,,2.5 mg/kg bw,Approved,Approved
163(i),Grape skin extract,Colour,Safe,,2.5 mg/kg bw,Approved,Approved
163(iii),Blackcurrant extract,Colour,Safe,,Not specified,Approved,Approved
163(iv),Purple corn colour,Colour,Safe,,Not specified,Approved,Approved
163(v),Red cabbage colour,Colour,Safe,,Not specified,Approved,Approved
163(vi),Black carrot extract,Colour,Safe,,Not specified,Approved,Approved
163(vii),Purple sweet potato colour,Colour,Safe,,Not specified,Approved,Approved
163(viii),Red radish colour,Colour,Safe,,Not specified,Approved,Approved
163(ix),Elderberry colour,Colour,Safe,,Not specified,Approved,Approved
163(x),Hibiscus colour,Colour,Safe,,Not specified,Approved,Approved
163(xi),Butterfly pea flower extract,Colour,Safe,,Not specified,Approved,Approved
164,Gardenia yellow,Colour,Safe,None at normal levels,Not allocated,Not permitted,Not permitted
165,Gardenia blue,Colour,Safe,None at normal levels,Not allocated,Not permitted,Not permitted
166,Sandalwood,Colour,High risk,Not fully evaluated for food safety,Not allocated,Not permitted,Not permitted
170,Calcium carbonates,,Safe,,Not specified,Approved,Approved
170(i),Calcium carbonate,Acidity regulator,Safe,,Not specified,Approved,Approved
170(ii),Calcium hydrogen carbonate,Firming agent,Safe,,Not specified,Approved,Approved
171,Titanium dioxide,Colour,High risk,Genotoxicity concerns (nanoparticles),Not allocated,Banned in EU as of 2022,Approved
172,Iron oxides,,Safe,,0.5 mg/kg bw,Approved,Approved
172(i),"Iron oxide, black",Colour,Safe,,0.5 mg/kg bw,Approved,Approved
172(ii),"Iron oxide, red",Colour,Safe,,0.5 mg/kg bw,Approved,Approved
172(iii),"Iron oxide, yellow",Colour,Safe,,0.5 mg/kg bw,Approved,Approved
173,Aluminium powder,Colour,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
174,Silver,Colour,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
175,"Gold, metallic",Colour,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
176,Potassium aluminium silicate-based pearlescent pigments (PAS-BPP),,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
176(i),"Potassium aluminium silicate-based pearlescent pigments coated with titanium dioxide, Type I",Colour,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
176(ii),"Potassium aluminium silicate-based pearlescent pigments coated with iron oxide, Type II",Colour,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
176(iii),"Potassium aluminium silicate-based pearlescent pigments coated with titanium dioxide and iron oxide, Type III",Colour,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
180,Lithol rubine BK,Colour,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
181,Tannic acid (Tannins),Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
182,Orchil,Colour,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
183,Jagua (genipin-glycine) blue (Jagua blue),Colour,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
200,Sorbic acid,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
201,Sodium sorbate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
202,Potassium sorbate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
203,Calcium sorbate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
209,Heptyl para-hydroxybenzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
210,Benzoic acid,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
211,Sodium benzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
212,Potassium benzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
213,Calcium benzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
214,Ethyl para-hydroxybenzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
215,Sodium ethyl para-hydroxybenzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
216,Propyl para-hydroxybenzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
217,Sodium propyl para-hydroxybenzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
218,Methyl para-hydroxybenzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
219,Sodium methyl para-hydroxybenzoate,Preservative,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
220,Sulphur dioxide,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
221,Sodium sulphite,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
222,Sodium hydrogen sulphite,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
223,Sodium metabisulphite,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
224,Potassium metabisulphite,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
225,Potassium sulphite,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
226,Calcium sulphite,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
227,Calcium hydrogen sulphite,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
228,Potassium bisulphite,Preservative / Antioxidant,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
230,Diphenyl,Preservative,High risk,Carcinogenic or highly toxic,Not specified,Banned/Not permitted (except specific niche uses),Banned/Not permitted
233,Thiabendazole,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
234,Nisin,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
235,Natamycin (Pimaricin),Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
236,Formic acid,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
237,Sodium formate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
238,Calcium formate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
239,Hexamethylene tetramine,Preservative,High risk,Carcinogenic or highly toxic,Not specified,Banned/Not permitted (except specific niche uses),Banned/Not permitted
240,Formaldehyde,Preservative,High risk,Carcinogenic or highly toxic,Not specified,Banned/Not permitted (except specific niche uses),Banned/Not permitted
241,Gum guaiacum,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
242,Dimethyl dicarbonate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
243,Lauric arginate ethyl ester,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
246,Glycolipids,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
249,Potassium nitrite,Preservative / Colour-retention,Caution,Formation of carcinogenic nitrosamines,3.7 mg/kg bw (nitrates) / 0.07 (nitrites),Approved (restricted to specific meats/cheeses),Approved (tightly regulated)
250,Sodium nitrite,Preservative / Colour-retention,Caution,Formation of carcinogenic nitrosamines,3.7 mg/kg bw (nitrates) / 0.07 (nitrites),Approved (restricted to specific meats/cheeses),Approved (tightly regulated)
251,Sodium nitrate,Preservative / Colour-retention,Caution,Formation of carcinogenic nitrosamines,3.7 mg/kg bw (nitrates) / 0.07 (nitrites),Approved (restricted to specific meats/cheeses),Approved (tightly regulated)
252,Potassium nitrate,Preservative / Colour-retention,Caution,Formation of carcinogenic nitrosamines,3.7 mg/kg bw (nitrates) / 0.07 (nitrites),Approved (restricted to specific meats/cheeses),Approved (tightly regulated)
260,"Acetic acid, glacial",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
261,Potassium acetates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
261(i),Potassium acetate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
261(ii),Potassium diacetate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
262,Sodium acetates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
262(i),Sodium acetate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
262(ii),Sodium diacetate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
263,Calcium acetate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
264,Ammonium acetate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
265,Dehydroacetic acid,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
266,Sodium dehydroacetate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
267,Buffered vinegar,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
270,"Lactic acid, L-, D- and DL-",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
280,Propionic acid,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
281,Sodium propionate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
282,Calcium propionate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
283,Potassium propionate,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
290,Carbon dioxide,Packaging gas,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
296,"Malic acid, DL-",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
297,Fumaric acid,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
300,"Ascorbic acid, L-",Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
301,Sodium ascorbate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
302,Calcium ascorbate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
303,Potassium ascorbate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
304,Ascorbyl palmitate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
305,Ascorbyl stearate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
307,Tocopherols,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
307a,"Tocopherol, d-alpha-",Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
307b,"Tocopherol concentrate, mixed",Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
307c,"Tocopherol, dl-alpha-",Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
308,"Tocopherol, gamma-, synthetic",Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
309,"Tocopherol, delta-, synthetic",Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
310,Propyl gallate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
311,Octyl gallate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
312,Dodecyl gallate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
313,Ethyl gallate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
314,Guaiac resin,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
315,Erythorbic acid (Isoascorbic acid),Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
316,Sodium erythorbate (Sodium isoascorbate),Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
317,Potassium isoascorbate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
318,Calcium isoascorbate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
319,Tertiary butylhydroquinone,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
320,Butylated hydroxyanisole,Antioxidant,Caution,"Endocrine disruption, possible carcinogen in animal studies",0.5 mg/kg bw,Approved (strict limits),Approved (strict limits)
321,Butylated hydroxytoluene,Antioxidant,Caution,"Endocrine disruption, possible carcinogen in animal studies",0.5 mg/kg bw,Approved (strict limits),Approved (strict limits)
322,Lecithins,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
322a,Oat lecithin,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
322(i),Lecithin,Emulsifier / Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
322(ii),"Lecithin, partially hydrolysed",Emulsifier / Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
322(iii),"Lecithin, hydroxylated",Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
323,Anoxomer,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
324,Ethoxyquin,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
325,Sodium lactate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
326,Potassium lactate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
327,Calcium lactate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
328,Ammonium lactate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
329,"Magnesium lactate, DL-",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
330,Citric acid,Acidity regulator / Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
331,Sodium citrates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
331(i),Sodium dihydrogen citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
331(ii),Disodium monohydrogen citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
331(iii),Trisodium citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
332,Potassium citrates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
332(i),Potassium dihydrogen citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
332(ii),Tripotassium citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
333,Calcium citrates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
333(i),Monocalcium citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
333(ii),Dicalcium citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
333(iii),Tricalcium citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
334,"Tartaric acid, L(+)-",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
335,Sodium tartrates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
335(i),Monosodium tartrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
335(ii),Sodium L(+)-tartrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
336,Potassium tartrates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
336(i),Monopotassium tartrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
336(ii),Dipotassium tartrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
337,Potassium sodium L(+)-tartrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
338,Phosphoric acid,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
339,Sodium phosphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
339(i),Sodium dihydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
339(ii),Disodium hydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
339(iii),Trisodium phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
340,Potassium phosphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
340(i),Potassium dihydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
340(ii),Dipotassium hydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
340(iii),Tripotassium phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
341,Calcium phosphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
341(i),Calcium dihydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
341(ii),Calcium hydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
341(iii),Tricalcium phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
342,Ammonium phosphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
342(i),Ammonium dihydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
342(ii),Diammonium hydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
343,Magnesium phosphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
343(i),Magnesium dihydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
343(ii),Magnesium hydrogen phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
343(iii),Trimagnesium phosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
350,Sodium malates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
350(i),Sodium hydrogen DL-malate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
350(ii),Sodium DL-malate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
351,Potassium malates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
351(i),Potassium hydrogen malate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
351(ii),Potassium malate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
352,Calcium malates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
352(i),Calcium hydrogen malate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
352(ii),"Calcium malate, D,L-",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
353,Metatartaric acid,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
